marker_id,X,Y,Z,n_cams,RMS_px
1,,,,0,
2,,,,0,
3,,,,0,
4,,,,1,
5,,,,1,
6,79.32746080918515,6.279420924580039,41.083454039824844,4,37.34275389130783
7,93.40623724885528,-12.086771748584713,29.391896379932057,4,17.938131644647356
8,109.23837610557229,-28.542673023648934,18.517016036707776,4,12.377734221074382
9,126.30511625430955,-45.80048269984961,7.953143725842371,4,7.474822609580384
10,142.21233485290975,-62.0286972687931,-0.6595900520679389,3,1.5863032039130291
11,149.03494340118596,1.614292759536646,-2.0807027172696664,5,26.562645175741515
12,165.60938449320327,-15.436349828262644,7.797338370889512,5,11.980611253702703
13,181.20162283994867,-31.521907047661198,17.487984594998526,5,4.337611951578354
14,197.94703232786816,-46.97086857922676,27.294384050682165,5,15.034689908972863
15,211.29789340817703,-61.32113958756973,37.46391471400854,5,27.40160624073922
16,228.92079544099738,-2.1093599822980327,37.607556605659454,5,38.28929035109599
17,244.89945815556075,-16.34507093100147,28.358052705209513,5,46.53423517032818
18,260.13658004388304,-31.3316552788998,18.92800214433992,5,8.666567277404788
19,276.36746895972016,-47.79568769276197,10.050410752772878,4,2.5852297951410406
20,292.19869764445383,-63.2742984336165,1.635600232938693,4,5.3105468696204605
21,298.7773988492249,-3.0022562669306585,1.148282817228647,5,34.774381282807774
22,314.46602502728825,-16.443791083502013,10.446028801235771,5,18.315278018477557
23,330.4265324318548,-30.93580958045546,20.214641999476576,5,30.285863292698526
24,347.1428563371173,-45.59295661085804,29.459754467319826,5,31.52789295071446
25,362.8080412439489,-61.52497091918304,38.85596335585785,5,38.58762140969617
