cam1_X,cam1_Y
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
67.213799,269.586569
134.962937,346.745310
214.003599,423.276744
301.826556,501.062792
390.276821,581.358067
426.660617,470.952064
514.483575,450.250938
601.679225,428.922506
702.675626,403.202925
788.179025,373.080143
828.326663,293.528343
913.826261,355.236749
999.949403,422.543368
1095.609824,489.951747
1192.261544,556.864476
1132.783563,463.186655
1228.939633,442.369362
1331.539151,418.578169
1442.069067,397.760875
1556.564182,376.447932
